,local_description,full_name,isin,pricescale,date,open,high,low,close,volume
0,СБЕРБАНК РОССИИ ПАО АО,MOEX:SBER,RU0009029540,100,2016-01-04 07:00:00,101.0,101.78,97.940002,98.010002,51264548.0
1,СБЕРБАНК РОССИИ ПАО АО,MOEX:SBER,RU0009029540,100,2016-01-05 07:00:00,97.879997,99.239998,97.160004,98.889999,49071568.0
2,СБЕРБАНК РОССИИ ПАО АО,MOEX:SBER,RU0009029540,100,2016-01-06 07:00:00,98.699997,99.559998,96.830002,96.849998,40710928.0
3,СБЕРБАНК РОССИИ ПАО АО,MOEX:SBER,RU0009029540,100,2016-01-11 07:00:00,93.610001,94.889999,91.010002,91.029999,86120288.0
4,СБЕРБАНК РОССИИ ПАО АО,MOEX:SBER,RU0009029540,100,2016-01-12 07:00:00,89.089996,92.879997,88.519997,91.709999,110109098.0
5,СБЕРБАНК РОССИИ ПАО АО,MOEX:SBER,RU0009029540,100,2016-01-13 07:00:00,92.75,93.879997,91.25,91.5,74169698.0
6,СБЕРБАНК РОССИИ ПАО АО,MOEX:SBER,RU0009029540,100,2016-01-14 07:00:00,91.0,93.150002,90.370003,93.040001,81179218.0
7,СБЕРБАНК РОССИИ ПАО АО,MOEX:SBER,RU0009029540,100,2016-01-15 07:00:00,92.440002,92.949997,86.849998,87.269997,133791198.0
8,СБЕРБАНК РОССИИ ПАО АО,MOEX:SBER,RU0009029540,100,2016-01-18 07:00:00,86.010002,88.279999,85.099998,86.150002,100574198.0
9,СБЕРБАНК РОССИИ ПАО АО,MOEX:SBER,RU0009029540,100,2016-01-19 07:00:00,87.389999,89.699997,85.760002,86.68,114039298.0
10,СБЕРБАНК РОССИИ ПАО АО,MOEX:SBER,RU0009029540,100,2016-01-20 07:00:00,84.889999,85.190002,82.199997,83.830002,134624698.0
11,СБЕРБАНК РОССИИ ПАО АО,MOEX:SBER,RU0009029540,100,2016-01-21 07:00:00,84.25,87.150002,83.269997,86.0,143863098.0
12,СБЕРБАНК РОССИИ ПАО АО,MOEX:SBER,RU0009029540,100,2016-01-22 07:00:00,88.970001,92.279999,87.620003,91.5,207689998.0
13,СБЕРБАНК РОССИИ ПАО АО,MOEX:SBER,RU0009029540,100,2016-01-25 07:00:00,92.550003,93.349998,90.0,91.0,131784798.0
14,СБЕРБАНК РОССИИ ПАО АО,MOEX:SBER,RU0009029540,100,2016-01-26 07:00:00,89.059998,91.760002,88.739998,91.5,105375598.0
15,СБЕРБАНК РОССИИ ПАО АО,MOEX:SBER,RU0009029540,100,2016-01-27 07:00:00,91.980003,96.260002,91.470001,95.75,150816498.0
16,СБЕРБАНК РОССИИ ПАО АО,MOEX:SBER,RU0009029540,100,2016-01-28 07:00:00,95.769997,97.279999,94.330002,96.690002,179555898.0
17,СБЕРБАНК РОССИИ ПАО АО,MOEX:SBER,RU0009029540,100,2016-01-29 07:00:00,97.470001,98.699997,95.120003,96.5,165404898.0
18,СБЕРБАНК РОССИИ ПАО АО,MOEX:SBER,RU0009029540,100,2016-02-01 07:00:00,96.269997,97.489998,95.290001,96.5,89621068.0
19,СБЕРБАНК РОССИИ ПАО АО,MOEX:SBER,RU0009029540,100,2016-02-02 07:00:00,95.699997,97.07,93.75,94.400002,128999098.0
20,СБЕРБАНК РОССИИ ПАО АО,MOEX:SBER,RU0009029540,100,2016-02-03 07:00:00,93.910004,96.889999,93.709999,94.529999,112704598.0
21,СБЕРБАНК РОССИИ ПАО АО,MOEX:SBER,RU0009029540,100,2016-02-04 07:00:00,98.559998,98.559998,96.709999,97.57,122052998.0
22,СБЕРБАНК РОССИИ ПАО АО,MOEX:SBER,RU0009029540,100,2016-02-05 07:00:00,97.010002,97.980003,96.349998,97.199997,81434158.0
23,СБЕРБАНК РОССИИ ПАО АО,MOEX:SBER,RU0009029540,100,2016-02-08 07:00:00,97.050003,97.860001,93.849998,94.699997,106207298.0
24,СБЕРБАНК РОССИИ ПАО АО,MOEX:SBER,RU0009029540,100,2016-02-09 07:00:00,94.0,95.629997,92.699997,93.889999,121341498.0
25,СБЕРБАНК РОССИИ ПАО АО,MOEX:SBER,RU0009029540,100,2016-02-10 07:00:00,93.5,96.769997,93.160004,96.349998,111478198.0
26,СБЕРБАНК РОССИИ ПАО АО,MOEX:SBER,RU0009029540,100,2016-02-11 07:00:00,95.709999,96.099998,93.050003,94.199997,115370098.0
27,СБЕРБАНК РОССИИ ПАО АО,MOEX:SBER,RU0009029540,100,2016-02-12 07:00:00,95.139999,95.669998,94.18,94.849998,79435868.0
28,СБЕРБАНК РОССИИ ПАО АО,MOEX:SBER,RU0009029540,100,2016-02-15 07:00:00,96.0,96.370003,94.93,95.25,68610988.0
29,СБЕРБАНК РОССИИ ПАО АО,MOEX:SBER,RU0009029540,100,2016-02-16 07:00:00,95.989998,97.279999,95.699997,96.510002,114942498.0
30,СБЕРБАНК РОССИИ ПАО АО,MOEX:SBER,RU0009029540,100,2016-02-17 07:00:00,96.510002,99.379997,96.050003,99.199997,114840198.0
31,СБЕРБАНК РОССИИ ПАО АО,MOEX:SBER,RU0009029540,100,2016-02-18 07:00:00,99.900002,102.8,99.75,102.7,125646298.0
32,СБЕРБАНК РОССИИ ПАО АО,MOEX:SBER,RU0009029540,100,2016-02-19 07:00:00,101.99,103.57,101.0,101.5,171600398.0
33,СБЕРБАНК РОССИИ ПАО АО,MOEX:SBER,RU0009029540,100,2016-02-22 07:00:00,102.57,104.39,102.39,103.2,66187508.0
34,СБЕРБАНК РОССИИ ПАО АО,MOEX:SBER,RU0009029540,100,2016-02-24 07:00:00,102.0,102.7,100.79,102.1,89140578.0
35,СБЕРБАНК РОССИИ ПАО АО,MOEX:SBER,RU0009029540,100,2016-02-25 07:00:00,102.65,104.35,101.51,104.05,110333698.0
36,СБЕРБАНК РОССИИ ПАО АО,MOEX:SBER,RU0009029540,100,2016-02-26 07:00:00,105.0,107.15,104.83,106.24,144091498.0
37,СБЕРБАНК РОССИИ ПАО АО,MOEX:SBER,RU0009029540,100,2016-02-29 07:00:00,105.5,107.38,104.81,107.0,91798288.0
