,local_description,full_name,isin,pricescale,date,open,high,low,close,volume
0,СБЕРБАНК РОССИИ ПАО АО,MOEX:SBER,RU0009029540,100,2021-09-21 07:00:00,328.44,329.48,322.39,323.25,47769288.0
1,СБЕРБАНК РОССИИ ПАО АО,MOEX:SBER,RU0009029540,100,2021-09-22 07:00:00,325.28,328.9,322.5,327.8,38198958.0
2,СБЕРБАНК РОССИИ ПАО АО,MOEX:SBER,RU0009029540,100,2021-09-23 07:00:00,328.94,329.4,325.13,327.02,27071408.0
3,СБЕРБАНК РОССИИ ПАО АО,MOEX:SBER,RU0009029540,100,2021-09-24 07:00:00,326.08,326.23,323.62,325.44,24584328.0
4,СБЕРБАНК РОССИИ ПАО АО,MOEX:SBER,RU0009029540,100,2021-09-27 07:00:00,326.39,332.46,326.09,331.68,34410298.0
5,СБЕРБАНК РОССИИ ПАО АО,MOEX:SBER,RU0009029540,100,2021-09-28 07:00:00,332.07,334.48,328.32,329.3,52542878.0
6,СБЕРБАНК РОССИИ ПАО АО,MOEX:SBER,RU0009029540,100,2021-09-29 07:00:00,329.09,330.45,327.15,328.43,27649208.0
7,СБЕРБАНК РОССИИ ПАО АО,MOEX:SBER,RU0009029540,100,2021-09-30 07:00:00,329.98,342.2,329.45,340.99,83622258.0
8,СБЕРБАНК РОССИИ ПАО АО,MOEX:SBER,RU0009029540,100,2021-10-01 07:00:00,339.21,339.94,336.08,338.48,37690988.0
9,СБЕРБАНК РОССИИ ПАО АО,MOEX:SBER,RU0009029540,100,2021-10-04 07:00:00,337.9,349.31,336.22,345.85,60125258.0
10,СБЕРБАНК РОССИИ ПАО АО,MOEX:SBER,RU0009029540,100,2021-10-05 07:00:00,346.78,365.0,344.9,363.2,86824848.0
11,СБЕРБАНК РОССИИ ПАО АО,MOEX:SBER,RU0009029540,100,2021-10-06 07:00:00,366.0,375.48,359.35,364.28,95804988.0
12,СБЕРБАНК РОССИИ ПАО АО,MOEX:SBER,RU0009029540,100,2021-10-07 07:00:00,367.69,374.0,365.88,368.93,49555648.0
13,СБЕРБАНК РОССИИ ПАО АО,MOEX:SBER,RU0009029540,100,2021-10-08 07:00:00,370.0,374.55,368.0,373.01,31050578.0
14,СБЕРБАНК РОССИИ ПАО АО,MOEX:SBER,RU0009029540,100,2021-10-11 07:00:00,375.0,388.11,375.0,387.6,66699558.0
15,СБЕРБАНК РОССИИ ПАО АО,MOEX:SBER,RU0009029540,100,2021-10-12 07:00:00,385.88,386.86,376.72,377.79,51008058.0
16,СБЕРБАНК РОССИИ ПАО АО,MOEX:SBER,RU0009029540,100,2021-10-13 07:00:00,378.86,380.91,370.81,378.8,54687328.0
17,СБЕРБАНК РОССИИ ПАО АО,MOEX:SBER,RU0009029540,100,2021-10-14 07:00:00,382.0,383.13,374.57,376.09,36363888.0
18,СБЕРБАНК РОССИИ ПАО АО,MOEX:SBER,RU0009029540,100,2021-10-15 07:00:00,377.92,378.41,370.43,371.82,37369168.0
19,СБЕРБАНК РОССИИ ПАО АО,MOEX:SBER,RU0009029540,100,2021-10-18 07:00:00,369.35,369.91,363.75,364.6,38233178.0
20,СБЕРБАНК РОССИИ ПАО АО,MOEX:SBER,RU0009029540,100,2021-10-19 07:00:00,366.14,373.4,361.5,373.18,40031728.0
21,СБЕРБАНК РОССИИ ПАО АО,MOEX:SBER,RU0009029540,100,2021-10-20 07:00:00,371.83,371.97,367.1,370.16,27537588.0
22,СБЕРБАНК РОССИИ ПАО АО,MOEX:SBER,RU0009029540,100,2021-10-21 07:00:00,368.2,371.14,363.2,364.6,24501068.0
23,СБЕРБАНК РОССИИ ПАО АО,MOEX:SBER,RU0009029540,100,2021-10-22 07:00:00,364.0,370.39,362.37,364.37,26378838.0
24,СБЕРБАНК РОССИИ ПАО АО,MOEX:SBER,RU0009029540,100,2021-10-25 07:00:00,366.2,371.7,361.68,369.98,35639848.0
25,СБЕРБАНК РОССИИ ПАО АО,MOEX:SBER,RU0009029540,100,2021-10-26 07:00:00,369.89,374.63,365.66,372.16,41833768.0
26,СБЕРБАНК РОССИИ ПАО АО,MOEX:SBER,RU0009029540,100,2021-10-27 07:00:00,371.0,374.0,366.51,371.36,36450618.0
27,СБЕРБАНК РОССИИ ПАО АО,MOEX:SBER,RU0009029540,100,2021-10-28 07:00:00,370.5,374.92,362.32,365.36,53892678.0
28,СБЕРБАНК РОССИИ ПАО АО,MOEX:SBER,RU0009029540,100,2021-10-29 07:00:00,364.34,364.34,352.68,356.14,53541989.0
29,СБЕРБАНК РОССИИ ПАО АО,MOEX:SBER,RU0009029540,100,2021-11-01 07:00:00,356.15,371.47,356.14,370.96,55134639.0
30,СБЕРБАНК РОССИИ ПАО АО,MOEX:SBER,RU0009029540,100,2021-11-02 07:00:00,371.0,374.0,367.2,370.69,37723169.0
31,СБЕРБАНК РОССИИ ПАО АО,MOEX:SBER,RU0009029540,100,2021-11-03 07:00:00,370.0,370.5,365.03,370.13,30876609.0
32,СБЕРБАНК РОССИИ ПАО АО,MOEX:SBER,RU0009029540,100,2021-11-05 07:00:00,366.99,367.56,358.5,360.21,39229739.0
33,СБЕРБАНК РОССИИ ПАО АО,MOEX:SBER,RU0009029540,100,2021-11-08 07:00:00,362.57,363.97,355.6,358.39,39736439.0
34,СБЕРБАНК РОССИИ ПАО АО,MOEX:SBER,RU0009029540,100,2021-11-09 07:00:00,358.41,364.58,355.6,357.43,41718589.0
35,СБЕРБАНК РОССИИ ПАО АО,MOEX:SBER,RU0009029540,100,2021-11-10 07:00:00,356.7,358.8,348.0,348.65,46558109.0
36,СБЕРБАНК РОССИИ ПАО АО,MOEX:SBER,RU0009029540,100,2021-11-11 07:00:00,350.11,357.89,347.22,356.21,42915839.0
